user_id,username,email,first_name,last_name,grade_level,gender,role
3001,alex.bennett,alex.bennett@school.edu,Alex,Bennett,6,M,STUDENT
3002,mason.foster,mason.foster@school.edu,Mason,Foster,6,M,STUDENT
3003,lucas.powell,lucas.powell@school.edu,Lucas,Powell,6,M,STUDENT
3004,aiden.butler,aiden.butler@school.edu,Aiden,Butler,6,M,STUDENT
3005,owen.simmons,owen.simmons@school.edu,Owen,Simmons,6,M,STUDENT
3006,gabriel.brooks,gabriel.brooks@school.edu,Gabriel,Brooks,6,M,STUDENT
3007,carter.price,carter.price@school.edu,Carter,Price,6,M,STUDENT
3008,hunter.long,hunter.long@school.edu,Hunter,Long,6,M,STUDENT
3009,leo.barnes,leo.barnes@school.edu,Leo,Barnes,6,M,STUDENT
3010,julian.fisher,julian.fisher@school.edu,Julian,Fisher,6,M,STUDENT
3011,carson.coleman,carson.coleman@school.edu,Carson,Coleman,6,M,STUDENT
3012,adrian.jenkins,adrian.jenkins@school.edu,Adrian,Jenkins,6,M,STUDENT
3013,hudson.perry,hudson.perry@school.edu,Hudson,Perry,6,M,STUDENT
3014,miles.russell,miles.russell@school.edu,Miles,Russell,6,M,STUDENT
3015,blake.griffin,blake.griffin@school.edu,Blake,Griffin,6,M,STUDENT
3016,cole.wallace,cole.wallace@school.edu,Cole,Wallace,6,M,STUDENT
3017,drake.woods,drake.woods@school.edu,Drake,Woods,6,M,STUDENT
3018,finn.cole,finn.cole@school.edu,Finn,Cole,6,M,STUDENT
3019,kai.hayes,kai.hayes@school.edu,Kai,Hayes,6,M,STUDENT
3020,max.rose,max.rose@school.edu,Max,Rose,6,M,STUDENT
3021,zane.stone,zane.stone@school.edu,Zane,Stone,6,M,STUDENT
3022,chase.hunt,chase.hunt@school.edu,Chase,Hunt,6,M,STUDENT
3023,axel.mills,axel.mills@school.edu,Axel,Mills,6,M,STUDENT
3024,jake.warren,jake.warren@school.edu,Jake,Warren,6,M,STUDENT
3025,felix.fox,felix.fox@school.edu,Felix,Fox,6,M,STUDENT
3026,dean.myers,dean.myers@school.edu,Dean,Myers,6,M,STUDENT
3027,troy.palmer,troy.palmer@school.edu,Troy,Palmer,6,M,STUDENT
3028,reid.wagner,reid.wagner@school.edu,Reid,Wagner,6,M,STUDENT
3029,jude.black,jude.black@school.edu,Jude,Black,6,M,STUDENT
3030,seth.boyd,seth.boyd@school.edu,Seth,Boyd,6,M,STUDENT
3031,cash.mason,cash.mason@school.edu,Cash,Mason,6,M,STUDENT
3032,cruz.dixon,cruz.dixon@school.edu,Cruz,Dixon,6,M,STUDENT
3033,tate.gibson,tate.gibson@school.edu,Tate,Gibson,6,M,STUDENT
3034,jay.gordon,jay.gordon@school.edu,Jay,Gordon,6,M,STUDENT
3035,prince.burns,prince.burns@school.edu,Prince,Burns,6,M,STUDENT
3036,rory.shaw,rory.shaw@school.edu,Rory,Shaw,6,M,STUDENT
3037,reid.holmes,reid.holmes@school.edu,Reid,Holmes,6,M,STUDENT
3038,kian.rice,kian.rice@school.edu,Kian,Rice,6,M,STUDENT
3039,theo.mills,theo.mills@school.edu,Theo,Mills,6,M,STUDENT
3040,wells.nash,wells.nash@school.edu,Wells,Nash,6,M,STUDENT
3041,drew.grant,drew.grant@school.edu,Drew,Grant,6,M,STUDENT
3042,wade.knight,wade.knight@school.edu,Wade,Knight,6,M,STUDENT
3043,hugo.ferguson,hugo.ferguson@school.edu,Hugo,Ferguson,6,M,STUDENT
3044,lance.wells,lance.wells@school.edu,Lance,Wells,6,M,STUDENT
3045,knox.pierce,knox.pierce@school.edu,Knox,Pierce,6,M,STUDENT
3046,nash.arnold,nash.arnold@school.edu,Nash,Arnold,6,M,STUDENT
3047,ford.weaver,ford.weaver@school.edu,Ford,Weaver,6,M,STUDENT
3048,trey.bradley,trey.bradley@school.edu,Trey,Bradley,6,M,STUDENT
3049,bruce.neal,bruce.neal@school.edu,Bruce,Neal,6,M,STUDENT
3050,brock.mann,brock.mann@school.edu,Brock,Mann,6,M,STUDENT
3051,sage.lucas,sage.lucas@school.edu,Sage,Lucas,6,M,STUDENT
3052,hugh.pope,hugh.pope@school.edu,Hugh,Pope,6,M,STUDENT
3053,banks.lloyd,banks.lloyd@school.edu,Banks,Lloyd,6,M,STUDENT
3054,drake.walsh,drake.walsh@school.edu,Drake,Walsh,6,M,STUDENT
3055,trace.watts,trace.watts@school.edu,Trace,Watts,6,M,STUDENT
3056,brett.newman,brett.newman@school.edu,Brett,Newman,6,M,STUDENT
3057,will.burton,will.burton@school.edu,Will,Burton,6,M,STUDENT
3058,kent.spencer,kent.spencer@school.edu,Kent,Spencer,6,M,STUDENT
3059,jett.hawkins,jett.hawkins@school.edu,Jett,Hawkins,6,M,STUDENT
3060,king.weber,king.weber@school.edu,King,Weber,6,M,STUDENT
3061,drake.gardner,drake.gardner@school.edu,Drake,Gardner,6,M,STUDENT
3062,ace.stephens,ace.stephens@school.edu,Ace,Stephens,6,M,STUDENT
3063,rex.payne,rex.payne@school.edu,Rex,Payne,6,M,STUDENT
3064,clark.craig,clark.craig@school.edu,Clark,Craig,6,M,STUDENT
3065,troy.pierce,troy.pierce@school.edu,Troy,Pierce,6,M,STUDENT
3066,kash.rhodes,kash.rhodes@school.edu,Kash,Rhodes,6,M,STUDENT
3067,kade.graves,kade.graves@school.edu,Kade,Graves,6,M,STUDENT
3068,reed.ball,reed.ball@school.edu,Reed,Ball,6,M,STUDENT
3069,gage.berry,gage.berry@school.edu,Gage,Berry,6,M,STUDENT
3070,kane.perkins,kane.perkins@school.edu,Kane,Perkins,6,M,STUDENT
3071,duke.sharp,duke.sharp@school.edu,Duke,Sharp,6,M,STUDENT
3072,rhys.cross,rhys.cross@school.edu,Rhys,Cross,6,M,STUDENT
3073,colt.briggs,colt.briggs@school.edu,Colt,Briggs,6,M,STUDENT
3074,heath.hardy,heath.hardy@school.edu,Heath,Hardy,6,M,STUDENT
3075,kyle.ray,kyle.ray@school.edu,Kyle,Ray,6,M,STUDENT
3076,tate.mckenzie,tate.mckenzie@school.edu,Tate,McKenzie,6,M,STUDENT
3077,lane.blair,lane.blair@school.edu,Lane,Blair,6,M,STUDENT
3078,dash.barker,dash.barker@school.edu,Dash,Barker,6,M,STUDENT
3079,flynn.fleming,flynn.fleming@school.edu,Flynn,Fleming,6,M,STUDENT
3080,wade.watts,wade.watts@school.edu,Wade,Watts,6,M,STUDENT 
