username,email,first_name,last_name,role,grade,gender
student701,student701@school.edu,James,Smith,student,7,M
student702,student702@school.edu,John,Johnson,student,7,M
student703,student703@school.edu,Robert,Williams,student,7,M
student704,student704@school.edu,Michael,Brown,student,7,M
student705,student705@school.edu,William,Jones,student,7,M
student706,student706@school.edu,David,Garcia,student,7,M
student707,student707@school.edu,Richard,Miller,student,7,M
student708,student708@school.edu,Joseph,Davis,student,7,M
student709,student709@school.edu,Thomas,Rodriguez,student,7,M
student710,student710@school.edu,Charles,Martinez,student,7,M
student711,student711@school.edu,Christopher,Hernandez,student,7,M
student712,student712@school.edu,Daniel,Lopez,student,7,M
student713,student713@school.edu,Matthew,Gonzalez,student,7,M
student714,student714@school.edu,Anthony,Wilson,student,7,M
student715,student715@school.edu,Donald,Anderson,student,7,M
student716,student716@school.edu,Mark,Thomas,student,7,M
student717,student717@school.edu,Paul,Taylor,student,7,M
student718,student718@school.edu,Steven,Moore,student,7,M
student719,student719@school.edu,Andrew,Jackson,student,7,M
student720,student720@school.edu,Kenneth,Martin,student,7,M
student721,student721@school.edu,George,Lee,student,7,M
student722,student722@school.edu,Joshua,Perez,student,7,M
student723,student723@school.edu,Kevin,Thompson,student,7,M
student724,student724@school.edu,Brian,White,student,7,M
student725,student725@school.edu,Edward,Harris,student,7,M
student726,student726@school.edu,Ronald,Sanchez,student,7,M
student727,student727@school.edu,Timothy,Clark,student,7,M
student728,student728@school.edu,Jason,Ramirez,student,7,M
student729,student729@school.edu,Jeffrey,Lewis,student,7,M
student730,student730@school.edu,Ryan,Robinson,student,7,M
student731,student731@school.edu,Jacob,Walker,student,7,M
student732,student732@school.edu,Gary,Young,student,7,M
student733,student733@school.edu,Nicholas,Allen,student,7,M
student734,student734@school.edu,Eric,King,student,7,M
student735,student735@school.edu,Stephen,Wright,student,7,M
student736,student736@school.edu,Jonathan,Scott,student,7,M
student737,student737@school.edu,Larry,Torres,student,7,M
student738,student738@school.edu,Justin,Nguyen,student,7,M
student739,student739@school.edu,Scott,Hill,student,7,M
student740,student740@school.edu,Brandon,Flores,student,7,M
student741,student741@school.edu,Frank,Green,student,7,M
student742,student742@school.edu,Benjamin,Adams,student,7,M
student743,student743@school.edu,Gregory,Nelson,student,7,M
student744,student744@school.edu,Samuel,Baker,student,7,M
student745,student745@school.edu,Raymond,Hall,student,7,M
student746,student746@school.edu,Patrick,Rivera,student,7,M
student747,student747@school.edu,Alexander,Campbell,student,7,M
student748,student748@school.edu,Jack,Mitchell,student,7,M
student749,student749@school.edu,Dennis,Carter,student,7,M
student750,student750@school.edu,Jerry,Roberts,student,7,M
student751,student751@school.edu,Tyler,Gomez,student,7,M
student752,student752@school.edu,Aaron,Phillips,student,7,M
student753,student753@school.edu,Henry,Evans,student,7,M
student754,student754@school.edu,Douglas,Turner,student,7,M
student755,student755@school.edu,Peter,Diaz,student,7,M
student756,student756@school.edu,Jose,Parker,student,7,M
student757,student757@school.edu,Keith,Cruz,student,7,M
student758,student758@school.edu,Roger,Edwards,student,7,M
student759,student759@school.edu,Arthur,Collins,student,7,M
student760,student760@school.edu,Terry,Reyes,student,7,M
student761,student761@school.edu,Lawrence,Stewart,student,7,M
student762,student762@school.edu,Sean,Morris,student,7,M
student763,student763@school.edu,Christian,Morales,student,7,M
student764,student764@school.edu,Albert,Murphy,student,7,M
student765,student765@school.edu,Joe,Cook,student,7,M
student766,student766@school.edu,Ethan,Rogers,student,7,M
student767,student767@school.edu,Austin,Gutierrez,student,7,M
student768,student768@school.edu,Jesse,Ortiz,student,7,M
student769,student769@school.edu,Willie,Morgan,student,7,M
student770,student770@school.edu,Billy,Cooper,student,7,M
student771,student771@school.edu,Bryan,Peterson,student,7,M
student772,student772@school.edu,Bruce,Bailey,student,7,M
student773,student773@school.edu,Gabriel,Reed,student,7,M
student774,student774@school.edu,Jordan,Kelly,student,7,M
student775,student775@school.edu,Dylan,Howard,student,7,M
student776,student776@school.edu,Alan,Ramos,student,7,M
student777,student777@school.edu,Juan,Kim,student,7,M
student778,student778@school.edu,Wayne,Cox,student,7,M
student779,student779@school.edu,Roy,Ward,student,7,M
student780,student780@school.edu,Ralph,Richardson,student,7,M
