username,user_id,email,first_name,last_name,role,grade,gender
student7001,S7001,student7001@school.edu,James,Smith,student,7,M
student7002,S7002,student7002@school.edu,John,Johnson,student,7,M
student7003,S7003,student7003@school.edu,Robert,Williams,student,7,M
student7004,S7004,student7004@school.edu,Michael,Brown,student,7,M
student7005,S7005,student7005@school.edu,William,Jones,student,7,M
student7006,S7006,student7006@school.edu,David,Garcia,student,7,M
student7007,S7007,student7007@school.edu,Richard,Miller,student,7,M
student7008,S7008,student7008@school.edu,Joseph,Davis,student,7,M
student7009,S7009,student7009@school.edu,Thomas,Rodriguez,student,7,M
student7010,S7010,student7010@school.edu,Charles,Martinez,student,7,M
student7011,S7011,student7011@school.edu,Christopher,Hernandez,student,7,M
student7012,S7012,student7012@school.edu,Daniel,Lopez,student,7,M
student7013,S7013,student7013@school.edu,Matthew,Gonzalez,student,7,M
student7014,S7014,student7014@school.edu,Anthony,Wilson,student,7,M
student7015,S7015,student7015@school.edu,Donald,Anderson,student,7,M
student7016,S7016,student7016@school.edu,Mark,Thomas,student,7,M
student7017,S7017,student7017@school.edu,Paul,Taylor,student,7,M
student7018,S7018,student7018@school.edu,Steven,Moore,student,7,M
student7019,S7019,student7019@school.edu,Andrew,Jackson,student,7,M
student7020,S7020,student7020@school.edu,Kenneth,Martin,student,7,M
student7021,S7021,student7021@school.edu,Joshua,Lee,student,7,M
student7022,S7022,student7022@school.edu,Kevin,Perez,student,7,M
student7023,S7023,student7023@school.edu,Brian,Thompson,student,7,M
student7024,S7024,student7024@school.edu,George,White,student,7,M
student7025,S7025,student7025@school.edu,Edward,Harris,student,7,M
student7026,S7026,student7026@school.edu,Ronald,Sanchez,student,7,M
student7027,S7027,student7027@school.edu,Timothy,Clark,student,7,M
student7028,S7028,student7028@school.edu,Jason,Ramirez,student,7,M
student7029,S7029,student7029@school.edu,Jeffrey,Lewis,student,7,M
student7030,S7030,student7030@school.edu,Ryan,Robinson,student,7,M
student7031,S7031,student7031@school.edu,Jacob,Walker,student,7,M
student7032,S7032,student7032@school.edu,Gary,Young,student,7,M
student7033,S7033,student7033@school.edu,Nicholas,Allen,student,7,M
student7034,S7034,student7034@school.edu,Eric,King,student,7,M
student7035,S7035,student7035@school.edu,Jonathan,Wright,student,7,M
student7036,S7036,student7036@school.edu,Stephen,Scott,student,7,M
student7037,S7037,student7037@school.edu,Larry,Torres,student,7,M
student7038,S7038,student7038@school.edu,Justin,Nguyen,student,7,M
student7039,S7039,student7039@school.edu,Scott,Hill,student,7,M
student7040,S7040,student7040@school.edu,Brandon,Flores,student,7,M
student7041,S7041,student7041@school.edu,Benjamin,Green,student,7,M
student7042,S7042,student7042@school.edu,Samuel,Adams,student,7,M
student7043,S7043,student7043@school.edu,Gregory,Nelson,student,7,M
student7044,S7044,student7044@school.edu,Frank,Baker,student,7,M
student7045,S7045,student7045@school.edu,Alexander,Hall,student,7,M
student7046,S7046,student7046@school.edu,Raymond,Rivera,student,7,M
student7047,S7047,student7047@school.edu,Patrick,Campbell,student,7,M
student7048,S7048,student7048@school.edu,Jack,Mitchell,student,7,M
student7049,S7049,student7049@school.edu,Dennis,Carter,student,7,M
student7050,S7050,student7050@school.edu,Jerry,Roberts,student,7,M
student7051,S7051,student7051@school.edu,Tyler,Gomez,student,7,M
student7052,S7052,student7052@school.edu,Aaron,Phillips,student,7,M
student7053,S7053,student7053@school.edu,Jose,Evans,student,7,M
student7054,S7054,student7054@school.edu,Adam,Turner,student,7,M
student7055,S7055,student7055@school.edu,Nathan,Diaz,student,7,M
student7056,S7056,student7056@school.edu,Henry,Parker,student,7,M
student7057,S7057,student7057@school.edu,Douglas,Cruz,student,7,M
student7058,S7058,student7058@school.edu,Zachary,Edwards,student,7,M
student7059,S7059,student7059@school.edu,Peter,Collins,student,7,M
student7060,S7060,student7060@school.edu,Kyle,Reyes,student,7,M
student7061,S7061,student7061@school.edu,Ethan,Stewart,student,7,M
student7062,S7062,student7062@school.edu,Walter,Morris,student,7,M
student7063,S7063,student7063@school.edu,Noah,Morales,student,7,M
student7064,S7064,student7064@school.edu,Jeremy,Murphy,student,7,M
student7065,S7065,student7065@school.edu,Christian,Cook,student,7,M
student7066,S7066,student7066@school.edu,Keith,Rogers,student,7,M
student7067,S7067,student7067@school.edu,Roger,Gutierrez,student,7,M
student7068,S7068,student7068@school.edu,Terry,Ortiz,student,7,M
student7069,S7069,student7069@school.edu,Gerald,Morgan,student,7,M
student7070,S7070,student7070@school.edu,Harold,Cooper,student,7,M
student7071,S7071,student7071@school.edu,Sean,Peterson,student,7,M
student7072,S7072,student7072@school.edu,Austin,Bailey,student,7,M
student7073,S7073,student7073@school.edu,Carl,Reed,student,7,M
student7074,S7074,student7074@school.edu,Arthur,Kelly,student,7,M
student7075,S7075,student7075@school.edu,Lawrence,Howard,student,7,M
student7076,S7076,student7076@school.edu,Dylan,Ramos,student,7,M
student7077,S7077,student7077@school.edu,Jesse,Kim,student,7,M
student7078,S7078,student7078@school.edu,Jordan,Cox,student,7,M
student7079,S7079,student7079@school.edu,Bryan,Ward,student,7,M
student7080,S7080,student7080@school.edu,Billy,Richardson,student,7,M 
