username,user_id,email,first_name,last_name,role,grade_level,gender,password
student6001,S6001,student6001@school.edu,Lucas,Powell,student,6,M,
student6002,S6002,student6002@school.edu,Oliver,Bennett,student,6,M,
student6003,S6003,student6003@school.edu,Liam,Wood,student,6,M,
student6004,S6004,student6004@school.edu,Mason,Barnes,student,6,M,
student6005,S6005,student6005@school.edu,Noah,Ross,student,6,M,
student6006,S6006,student6006@school.edu,Ethan,Henderson,student,6,M,
student6007,S6007,student6007@school.edu,Alexander,Coleman,student,6,M,
student6008,S6008,student6008@school.edu,William,Jenkins,student,6,M,
student6009,S6009,student6009@school.edu,James,Perry,student,6,M,
student6010,S6010,student6010@school.edu,Benjamin,Powell,student,6,M,
student6011,S6011,student6011@school.edu,Sebastian,Long,student,6,M,
student6012,S6012,student6012@school.edu,Jack,Patterson,student,6,M,
student6013,S6013,student6013@school.edu,Daniel,Hughes,student,6,M,
student6014,S6014,student6014@school.edu,Michael,Flores,student,6,M,
student6015,S6015,student6015@school.edu,Henry,Washington,student,6,M,
student6016,S6016,student6016@school.edu,Jacob,Butler,student,6,M,
student6017,S6017,student6017@school.edu,Owen,Simmons,student,6,M,
student6018,S6018,student6018@school.edu,Gabriel,Foster,student,6,M,
student6019,S6019,student6019@school.edu,Matthew,Gonzales,student,6,M,
student6020,S6020,student6020@school.edu,Joseph,Bryant,student,6,M,
student6021,S6021,student6021@school.edu,Samuel,Alexander,student,6,M,
student6022,S6022,student6022@school.edu,David,Russell,student,6,M,
student6023,S6023,student6023@school.edu,John,Griffin,student,6,M,
student6024,S6024,student6024@school.edu,Wyatt,Diaz,student,6,M,
student6025,S6025,student6025@school.edu,Andrew,Hayes,student,6,M,
student6026,S6026,student6026@school.edu,Joshua,Myers,student,6,M,
student6027,S6027,student6027@school.edu,Christopher,Ford,student,6,M,
student6028,S6028,student6028@school.edu,Isaac,Hamilton,student,6,M,
student6029,S6029,student6029@school.edu,Dylan,Graham,student,6,M,
student6030,S6030,student6030@school.edu,Nathan,Sullivan,student,6,M,
student6031,S6031,student6031@school.edu,Ryan,Wallace,student,6,M,
student6032,S6032,student6032@school.edu,Christian,Woods,student,6,M,
student6033,S6033,student6033@school.edu,Caleb,Cole,student,6,M,
student6034,S6034,student6034@school.edu,Luke,West,student,6,M,
student6035,S6035,student6035@school.edu,Jonathan,Jordan,student,6,M,
student6036,S6036,student6036@school.edu,Isaiah,Owens,student,6,M,
student6037,S6037,student6037@school.edu,Adrian,Reynolds,student,6,M,
student6038,S6038,student6038@school.edu,Charles,Fisher,student,6,M,
student6039,S6039,student6039@school.edu,Thomas,Ellis,student,6,M,
student6040,S6040,student6040@school.edu,Connor,Harrison,student,6,M,
student6041,S6041,student6041@school.edu,Jeremiah,Gibson,student,6,M,
student6042,S6042,student6042@school.edu,Cameron,McDonald,student,6,M,
student6043,S6043,student6043@school.edu,Josiah,Cruz,student,6,M,
student6044,S6044,student6044@school.edu,Adrian,Marshall,student,6,M,
student6045,S6045,student6045@school.edu,Landon,Ortiz,student,6,M,
student6046,S6046,student6046@school.edu,Hunter,Gomez,student,6,M,
student6047,S6047,student6047@school.edu,Eli,Murray,student,6,M,
student6048,S6048,student6048@school.edu,Jonathan,Freeman,student,6,M,
student6049,S6049,student6049@school.edu,Connor,Wells,student,6,M,
student6050,S6050,student6050@school.edu,Nicholas,Webb,student,6,M,
student6051,S6051,student6051@school.edu,Evan,Simpson,student,6,M,
student6052,S6052,student6052@school.edu,Aaron,Stevens,student,6,M,
student6053,S6053,student6053@school.edu,Anthony,Tucker,student,6,M,
student6054,S6054,student6054@school.edu,Adam,Porter,student,6,M,
student6055,S6055,student6055@school.edu,Ian,Hunter,student,6,M,
student6056,S6056,student6056@school.edu,Austin,Hicks,student,6,M,
student6057,S6057,student6057@school.edu,Oscar,Crawford,student,6,M,
student6058,S6058,student6058@school.edu,Kevin,Henry,student,6,M,
student6059,S6059,student6059@school.edu,Jose,Boyd,student,6,M,
student6060,S6060,student6060@school.edu,Tyler,Mason,student,6,M,
student6061,S6061,student6061@school.edu,Brandon,Morales,student,6,M,
student6062,S6062,student6062@school.edu,Diego,Kennedy,student,6,M,
student6063,S6063,student6063@school.edu,Brian,Warren,student,6,M,
student6064,S6064,student6064@school.edu,Luis,Dixon,student,6,M,
student6065,S6065,student6065@school.edu,Marcus,Ramos,student,6,M,
student6066,S6066,student6066@school.edu,Peter,Reyes,student,6,M,
student6067,S6067,student6067@school.edu,Justin,Burns,student,6,M,
student6068,S6068,student6068@school.edu,Juan,Gordon,student,6,M,
student6069,S6069,student6069@school.edu,Carlos,Shaw,student,6,M,
student6070,S6070,student6070@school.edu,Alex,Holmes,student,6,M,
student6071,S6071,student6071@school.edu,Bryan,Rice,student,6,M,
student6072,S6072,student6072@school.edu,Sean,Robertson,student,6,M,
student6073,S6073,student6073@school.edu,Nathaniel,Hunt,student,6,M,
student6074,S6074,student6074@school.edu,Cole,Black,student,6,M,
student6075,S6075,student6075@school.edu,Zachary,Daniels,student,6,M,
student6076,S6076,student6076@school.edu,Alex,Palmer,student,6,M,
student6077,S6077,student6077@school.edu,Ashton,Mills,student,6,M,
student6078,S6078,student6078@school.edu,Leo,Nichols,student,6,M,
student6079,S6079,student6079@school.edu,Chase,Grant,student,6,M,
student6080,S6080,student6080@school.edu,Victor,Knight,student,6,M 
